sample_tube,sample_code,core,SRA_name,16S_SampleID,18S_SampleID,fITS_SampleID,sample_depth,sample_type,contam_type,Antimony,Arsenic,Barium,Beryllium,Cadmium,Chromium,Chromium_VI,Cobalt,Copper,Lead,Mercury,Molybdenum,Nickel,Selenium,Silver,Thallium,Vanadium,Zinc,TPH_d,TPH_mo,TPH_g,Acenaphthene,Acenaphthylene,Anthracene,Benz_a_anthracene,Benzo_a_pyrene,Benzo_b_fluoranthene,Benzo_ghi_perylene,Benzo_k_fluoranthene,Chrysene,Dibenz_ah_anthracene,Fluoranthene,Fluorene,Indeno_123-cd_pyrene,Naphthalene,Phenanthrene,Pyrene
1,B1-0,B1,S_1_1,X16S_1_1_S1_L001,X18S_1_1_S1_L001,FUN_ITS_1_1_S1_L001,0.15,sample,not_contaminated,<2,<2,60,<0.5,0.55,110,<1,6.3,23,57,<0.1,<1,14,<4.8,<0.5,<2,52,76,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
2,B1-10,B1,S_1_2,X16S_1_2_S2_L001,X18S_1_2_S2_L001,FUN_ITS_1_2_S2_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,B1-15,B1,S_1_3,X16S_1_3_S3_L001,X18S_1_3_S3_L001,FUN_ITS_1_3_S3_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B1-20,B1,S_1_4,X16S_1_4_S4_L001,X18S_1_4_S4_L001,FUN_ITS_1_4_S4_L001,6.1,sample,not_contaminated,<2,<2,60,<0.5,<0.5,9.4,NA,5.4,6.9,1.9,<0.1,<1,5.6,<4.8,<0.5,<2,22,32,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
5,B2-0,B2,S_1_5,X16S_1_5_S5_L001,X18S_1_5_S5_L001,FUN_ITS_1_5_S5_L001,0.15,sample,contaminated,<2,<2,220,1.8,0.53,24,<1,6,58,140,<0.1,<1,12,<4.8,<0.5,<2,27,390,440,2000,<0.2,<80,<80,<80,<80,<80,<80,<80,<80,<80,<96,<100,<80,<80,<80,<80,<100
6,B2-5,B2,S_1_6,X16S_1_6_S6_L001,X18S_1_6_S6_L001,FUN_ITS_1_6_S6_L001,1.52,sample,not_contaminated,<2,<2,170,0.55,0.82,21,<1,11,18,8.5,<0.1,<1,15,<4.8,<0.5,<2,47,59,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
7,B2-10,B2,S_1_7,X16S_1_7_S7_L001,X18S_1_7_S7_L001,FUN_ITS_1_7_S7_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,B2-15,B2,S_1_8,X16S_1_8_S8_L001,X18S_1_8_S8_L001,FUN_ITS_1_8_S8_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,B2-20,B2,S_1_9,X16S_1_9_S9_L001,X18S_1_9_S9_L001,FUN_ITS_1_9_S9_L001,6.1,sample,not_contaminated,<2,<2,89,<0.5,<0.5,12,NA,8.6,11,2.5,<0.1,<1,8.3,<4.8,<0.5,<2,30,40,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
10,B3-0,B3,S_1_10,X16S_1_10_S10_L001,X18S_1_10_S10_L001,FUN_ITS_1_10_S10_L001,0.15,sample,contaminated,<2,4.2,95,<0.5,1,18,NA,7.5,230,100,0.12,<1,13,<4.8,<0.5,<2,34,130,320,1300,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,1600
11,B3-5,B3,S_1_11,X16S_1_11_S11_L001,X18S_1_11_S11_L001,FUN_ITS_1_11_S11_L001,1.52,sample,not_contaminated,<2,<2,48,<0.5,<0.5,8,NA,4.9,6.1,3,<0.1,<1,4.6,<4.8,<0.5,<2,22,25,<10,<50,<0.2,<40,<40,<40,140,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
12,B3-10,B3,S_1_12,X16S_1_12_S12_L001,X18S_1_12_S12_L001,FUN_ITS_1_12_S12_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,B3-15,B3,S_1_13,X16S_1_13_S13_L001,X18S_1_13_S13_L001,FUN_ITS_1_13_S13_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
