pathway	description	X16S_1_10_S10_L001	X16S_1_11_S11_L001	X16S_1_12_S12_L001	X16S_1_13_S13_L001	X16S_1_14_S14_L001	X16S_1_15_S15_L001	X16S_1_16_S16_L001	X16S_1_17_S17_L001	X16S_1_18_S18_L001	X16S_1_19_S19_L001	X16S_1_1_S1_L001	X16S_1_20_S20_L001	X16S_1_21_S21_L001	X16S_1_22_S22_L001	X16S_1_23_S23_L001	X16S_1_24_S24_L001	X16S_1_25_S25_L001	X16S_1_26_S26_L001	X16S_1_27_S27_L001	X16S_1_28_S28_L001	X16S_1_29_S29_L001	X16S_1_2_S2_L001	X16S_1_30_S30_L001	X16S_1_31_S31_L001	X16S_1_32_S32_L001	X16S_1_33_S33_L001	X16S_1_34_S34_L001	X16S_1_35_S35_L001	X16S_1_36_S36_L001	X16S_1_37_S37_L001	X16S_1_38_S38_L001	X16S_1_39_S39_L001	X16S_1_3_S3_L001	X16S_1_40_S40_L001	X16S_1_41_S41_L001	X16S_1_42_S42_L001	X16S_1_43_S43_L001	X16S_1_44_S44_L001	X16S_1_45_S45_L001	X16S_1_46_S46_L001	X16S_1_47_S47_L001	X16S_1_48_S48_L001	X16S_1_49_S49_L001	X16S_1_4_S4_L001	X16S_1_50_S50_L001	X16S_1_51_S51_L001	X16S_1_52_S52_L001	X16S_1_53_S53_L001	X16S_1_54_S54_L001	X16S_1_55_S55_L001	X16S_1_56_S56_L001	X16S_1_57_S57_L001	X16S_1_58_S58_L001	X16S_1_59_S59_L001	X16S_1_5_S5_L001	X16S_1_6_S6_L001	X16S_1_7_S7_L001	X16S_1_8_S8_L001	X16S_1_9_S9_L001
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	106966.2971	55685.1216	7301.5108	55538.7111	49992.1113	122157.9236	14836.439	46594.3985	24848.7389	11595.8519	50197.8652	143919.9489	104777.3684	37240.059	56482.0965	63603.6773	49825.194	29696.3186	19021.1858	191228.7892	43659.5332	22968.8078	64502.965	76959.787	17448.8421	217249.6245	18713.1354	136088.6277	157543.1907	212672.3076	97811.2544	160202.7696	26362.378	73419.3637	77006.9543	73057.3791	41708.7438	126954.415	59879.1379	168567.0529	111632.516	252530.7622	51030.1113	50034.3996	150994.9469	84177.7129	23932.0743	48601.3371	44205.9375	322666.8269	266246.0048	68400.6289	54319.0493	45593.673	58411.2914	21812.7171	60206.7956	25094.1239	41666.5468
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	6196.4005	3311.2185	388.751	432.0715	1471.5237	3761.1651	297.8053	852.6139	405.3766	120.0836	3499.661	8773.305	591.2555	394.4309	305.9594	592.8594	4159.6963	65.4794	676.5126	7457.7171	404.6355	0	1947.878	666.8417	345.3646	12026.7973	64.7251	9437.1217	1063.2526	2498.2152	1322.1489	1009.2472	243.9567	5906.8471	1420.2201	2127.4299	926.4216	1378.4679	770.4398	597.8909	4318.064	5935.0228	828.6476	777.6874	5887.01	5484.9228	461.1009	1145.1562	1705.2343	18674.9037	17909.7557	4469.2942	3348.3023	2059.7727	1818.4509	338.8234	1849.3968	176.6381	601.0361
AEROBACTINSYN-PWY	aerobactin biosynthesis	113.9716	11.9836	0	0	0	162.0057	0	0	0	0	114.9314	94.2023	0	8.6929	0	25.1549	80.5546	0	0	741.3887	0	0	53.944	0	0	140.1492	0	319.9302	0	0	0	0	0	32.716	0	30.8281	0	0	565.9162	55.5829	234.4994	0	0.5714	0	0	10.3848	0	0	0	0	376.0321	39.8955	0.7999	12.7243	113.4424	0	6.393	0	0
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	43758.6513	27057.3855	3824.4444	13040.9965	5497.3178	71359.0251	4769.6379	16629.3709	3538.2406	1739.3037	20040.3033	69650.9399	13571.9793	7375.2742	6184.6456	9358.0799	23469.2487	4393.7359	5278.587	38636.0055	2923.081	4145.5068	25435.0453	4741.6975	401.0151	96486.581	2895.1549	51475.5313	482.1443	47808.676	4673.4918	7522.0181	1312.4311	24730.4501	30005.848	38986.1971	6533.102	22248.7304	23141.7762	16325.0052	47779.4225	50618.2664	6173.2805	1062.5635	46356.6227	37347.6449	7086.9332	6885.3106	2349.7263	130279.7733	128336.2431	30512.1834	19598.6299	18789.6185	21461.9554	3570.8352	18448.886	5034.463	3212.2842
ANAEROFRUCAT-PWY	homolactic fermentation	122781.2986	85635.5066	14487.8816	89849.6779	63526.3256	160670.7999	23130.1821	52871.5572	31790.6235	23554.8831	55109.939	194385.6752	138286.0314	49486.0046	69570.3189	87959.0642	66370.1639	42299.5543	26657.5845	234285.3059	57603.6054	30813.6053	73888.4232	113234.7088	26010.4219	269724.2833	18952.2366	150893.6893	170068.9451	254876.3964	124428.6242	178869.3669	38675.0335	77725.9885	103981.6438	84745.7384	53688.6517	179390.4282	83320.0604	210345.1683	127815.6	316623.6019	72150.3602	69999.0636	161174.5088	96304.9547	26654.8558	72569.7195	57524.891	379587.154	292755.2395	72242.2455	58940.4053	51059.4324	64679.5665	28387.0077	69004.6025	40441.6553	50129.2219
ANAGLYCOLYSIS-PWY	glycolysis III from glucose	163602.7116	205966.1929	39441.7137	182511.2657	116185.6015	195483.6156	64041.5715	123413.7985	54376.1883	64250.7827	78355.781	245766.075	240168.7637	99748.3755	99949.6399	160903.5837	88573.3636	89597.247	46850.4958	296581.4954	79877.0625	34787.3314	99550.4041	216147.1909	31964.9172	337354.5447	27348.7096	197576.0781	217223.1123	477274.2052	145518.7638	299071.648	77855.508	104020.4332	111653.8704	118787.5724	57033.4376	361184.8567	88428.0872	408383.3536	155414.7357	317490.9358	80315.6553	128902.6795	225433.5249	120560.437	43732.8089	83271.4457	60614.7818	434212.5308	372205.1706	94015.1439	66284.8365	63255.6742	86700.2202	56003.0847	116616.9998	87352.8188	87462.2494
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	62347.6445	57831.7665	13549.9915	33003.6783	41929.3767	68459.0536	15141.1503	17514.2523	19425.459	6402.747	31479.398	78951.8408	92169.7562	24494.9425	31089.8253	36309.2189	27683.041	24690.4969	10537.0255	107655.7958	16418.05	7466.5539	36398.1708	42894.0239	6866.0636	137011.8422	6943.7575	89765.8486	67020.5203	142587.2911	35305.41	104219.9769	23025.557	50646.1893	23907.6118	43762.8038	16051.2539	85719.0519	27566.4354	121944.6874	63794.8238	102202.5232	23095.0892	35452.972	92049.3257	54164.6649	14904.1617	20750.9879	12600.5588	173009.0816	135294.3108	37911.7016	25468.1568	21535.2305	36215.3437	14362.0616	44924.452	16225.5821	29572.2356
ARGDEG-PWY	superpathway of L-arginine  putrescine  and 4-aminobutanoate degradation	172.6253	0	0	93.1314	104.6071	289.3332	0	0.4664	100.9141	5.5761	0	0	0	13.0489	2.4702	25.1514	175.5351	194.0626	140.2306	1019.9747	205.0096	451.3527	689.2991	87.224	63.5639	299.9726	105.604	182.5814	48.4545	945.892	832.0564	313.1067	64.3776	154.9275	1126.5473	0.28	605.5354	241.0083	2681.1295	101.5401	115.5288	3040.4352	775.3367	0.9239	993.3311	176.0417	120.4492	4.6735	286.9984	2145.7143	326.9986	0	16.7923	6.9983	30.7713	33.4431	18.6003	55.4335	50.2304
ARGORNPROST-PWY	arginine  ornithine and proline interconversion	24770.8187	7779.5663	1847.7615	7002.6282	1090.3743	29457.9046	1193.091	13204.2048	2066.5246	942.6121	6711.9495	68710.4781	2141.0901	4655.9041	10220.654	3159.0298	15324.1293	3687.5647	1500.8282	26405.6394	570.9933	1064.6835	8896.8337	8006.4149	2008.4659	68849.0488	674.8756	21342.609	20386.9571	11229.0038	11994.3605	5354.7025	552.1505	15414.2788	4995.9913	12100.744	5484.9646	7151.0715	6988.2361	10697.1757	26983.7738	17514.7912	500.6952	5120.7705	33096.6511	21939.2849	5440.4537	3856.0393	1462.8862	73360.1502	71737.6025	18133.8	10984.9613	12258.4843	11947.014	3448.4743	7901.3274	2269.798	2196.2506
ARGSYN-PWY	L-arginine biosynthesis I via L-ornithine	147507.4029	203118.7195	39953.4759	183714.3195	113803.1984	178382.69	63716.3567	118200.693	53726.0713	64554.2724	71113.2819	222946.5809	234681.8358	97678.1297	95985.0458	157705.1277	81909.898	88669.7364	46137.3663	287560.5126	77630.4084	31510.843	91706.9231	213428.6327	29240.483	311427.1488	26343.5945	177945.5777	177995.3856	460659.6468	138661.2929	288598.0324	77179.8852	93286.0728	105681.5134	110042.5007	51482.0816	352784.6264	81067.7362	394885.4611	138729.4669	306210.0786	68943.5434	126372.4103	211626.4863	111221.832	42046.6574	83298.5072	53041.8018	366721.9614	332284.5906	82471.2628	55553.4253	54744.851	78722.3812	54256.7677	112232.9401	87708.5868	85213.4384
