depth	0.15-1.5	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	3.05-4.60	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	3.05-4.60	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	6	0.15-1.5	0.15-1.5	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	0.15-1.5	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	3.05-4.60	3.05-4.60	6
Acidimicrobiaceae	0.00112541	0.00656931	0.000264254	0.000560357	0	8.35778E-06	0.045448088	0	0.000164333	0.000697437	0.001182215	0	0.023919799	0	0	0.000505832	0	0.016451923	1.07657E-05	0.000633606	0	0	0	0.010677508	0.001120645	0	0.008718501	0	0.002562306	0	0.000836671	0.003502092	0	0	0.00157423	0	0.00585593	0	2.78565E-06	0	0.000157701	0.001045291	0	0	0.039988273	4.58901E-06	0.007888599	0.001340262	0	0	0	0	0	0.000356375	0
Acidimicrobiales	0.00752039	0.006673481	0	0	0.000150229	8.35778E-06	0.024986067	0	0	0	0	0	0.012734682	0	0.000340982	0	0	0.02120444	0	0.001710738	6.66716E-06	1.2622E-05	0	0.011837661	0	0	0.007999873	0	0.003230966	0	0	0	0.001038372	7.83613E-06	0.001406968	0	0.011903004	0	0.000250708	0	9.46205E-05	0.005047657	0	0	0.009404867	0.001234443	0.004655988	0	0	0	0.000912028	0	0	0	2.25757E-05
Acidimicrobiia	0.001204851	0.010417141	0.002920955	0.000754327	0.001808308	0.002724636	0.002038006	0.000519406	0.001035299	0.003469304	0	0	0.00128845	0.003290228	0.004091784	0.004678943	0.001666086	0.004775986	0.004489277	0	0	0.001880672	0.004039662	0.003726861	0.001408811	0	0.005492592	0.004213783	0.005087167	0.003229612	0.00172643	2.08458E-05	0.002178214	0.004701678	0.007940022	0	0.005734294	0	0.000643485	1.23057E-05	0.004386508	0.005542795	0.000589122	0	0.000844327	0.012147105	0.010383798	0.002398363	0	0	0.001093921	0.001488879	0.002983694	1.11367E-05	0.008296554
Acidobacteria	0.001019489	0.001263078	0.009834039	0	0.013181176	0.008784027	0.003376643	0.012970711	0.030730296	0.005972925	0.009734078	0	8.56113E-06	0.013502863	0.021762677	0.016896723	0.0144373	0.000786219	0.011939109	0.041860269	0.014727747	0.02061166	0.001899528	0.001581093	0.012029786	0	0.007303406	0.006987412	0.001984583	0.005922567	0.016865075	0.009158247	0.006845817	0.002860188	0.002676191	1.83925E-05	0.002258964	0	0.018594195	1.23057E-05	0.008848226	0.002166229	3.21924E-06	0	0.001489299	0.009898491	0.003206887	0.01159209	0.04101207	0.005670836	2.56188E-06	0.000871539	0.000584525	0.008363681	0.000553104
Acidobacteriaceae	0.014458214	0.01533273	0.24254779	0.326192375	0.055000389	0.047171309	0.006163193	0.072139662	0.029473148	0.048427189	0.036648652	0.005783487	0.0049997	0.056159065	0.045882141	0.0542699	0.040435843	0.006700462	0.071182499	0.048935541	0.011527512	0.032627766	0.039041625	0.005236086	0.064215274	0	0.016873496	0.018855345	0.015416629	0.028587867	0.04143007	0.032866851	0.040503289	0.054696193	0.039719787	0.036720618	0.003101732	0	0.037856946	0.021658073	0.042586487	0.007977224	0.004622833	0	0.0149399	0.027038438	0.011995816	0.04371135	0.019206821	0.003829182	0.001306557	0.037621425	0.040314771	0.054625639	0.039654141
Acidobacteriia	0	0.003945492	0.001373179	0.000538805	0.0016859	0.00097786	0.001218433	0.008498052	0.0001972	0.00642	0.00205736	0	0.000612121	0.000854876	0.001805199	0.000486377	0.001672421	0	0.000785893	0.001119371	0.001586783	0.005907077	0.001051072	0.0020431	0.000869072	0	0.001972268	0	0.002637196	0	0.000953465	0	0	0.001183256	0.000403396	0	0.000738508	0	0.000284136	0	0.000771521	0.000433246	0	0	0.002697156	0	0.003918576	0.000540807	0	0	0	0.005828416	0.001570365	0.000801844	0.000338635
Actinobacteria	0.049676941	0.073232504	0.036839895	0.014741697	0.052440938	0.043059282	0.093147272	0.034006637	0.129847828	0.030866074	0.073742554	0	0.076215467	0.024833091	0.056592988	0.015573778	0.060770961	0.104496703	0.036247955	0.051216524	0.02463514	0.034622035	0.04096648	0.084927259	0.043000768	3.54083E-05	0.075300747	0.025522722	0.040247993	0.015050571	0.025299736	0.020644274	0.036735384	0.074458915	0.041185789	0.015725584	0.089602683	0.004059668	0.055111245	0.018458585	0.05734	0.055304166	0.004120631	1.43152E-05	0.054564644	0.048381916	0.071228907	0.042935409	0.038820768	0.009664126	0.012063873	0.055052202	0.025317781	0.052197833	0.040421713
Actinomycetales	0.000225082	5.20857E-05	0.00958866	0.022823768	0.001691464	0.001178447	0.002464185	0.001356226	0.000862749	0.004649582	3.07069E-05	0	0.000809027	0.001150954	0.000421213	9.72753E-06	0	0	0.002077771	0.000781448	0	1.2622E-05	0.000493877	0	0.000910239	0	0.002146385	0	0.000700756	0	0.001248636	0	0.003639377	0.000642563	9.83894E-06	0	0.001268495	0	0.000718697	0.007297294	0.000427005	0.001340999	0	0	0.001571387	0	0.002418027	0.001881069	1.19743E-05	0	0.000591793	0.004085338	0.001020738	0.001614825	0.000541816
Actinophytocola	0.001429933	0.004935121	0	0	0.000751143	0	0.002606244	0	0.000131467	0.005114541	0	0	0.018992869	0	0	0.000223733	0.000430775	0.005409655	0	0	0.002013481	0	0	0.00181723	0	3.54083E-05	0.009316829	2.66695E-05	0.005220899	0	0.000244206	0	0	0.000752269	0.004525911	0	0.000747196	0	0.00072984	0	0	0.010143452	0.000141647	0	0.004819701	0.007622343	0	0	0.003532426	0	0.006850456	0	0.000593249	0	0.00015803
Alphaproteobacteria	0.018655333	0.032807485	0.015119127	0.015733098	0.016280338	0.037777165	0.020647791	0.008844323	0.004231578	0.021549026	0.003086041	0.00603911	0.023975447	0.054737053	0.012345555	0.035203938	0.016236419	0.025511042	0.016923607	0.014361747	0.010760789	0.006475065	0.034242152	0.022936109	0.011796509	0.006125628	0.016579081	0.007227438	0.025767488	0.0165155	0.022180271	0.005565824	0.032960714	0.018783206	0.03534146	0.016369321	0.018184662	0	0.010632815	7.38343E-05	0.020898991	0.017405477	0.006003889	1.43152E-05	0.024192319	0.021816146	0.027893058	0.017682052	0.013626784	0.008697713	0.024968041	0.020099864	0.029252419	0.021059548	0.036245217
