X18S_seq_number	Kingdom	Phylum	Class	Order	Family	Genus	Species
forward_18S_39	Eukaryota	Streptophyta	Bryopsida	Bryales	Bryales	Bryales	
forward_18S_40	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	
forward_18S_65	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
forward_18S_80	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
forward_18S_174	Eukaryota	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	
forward_18S_203	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
forward_18S_297	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Onygenales	Onygenales	
forward_18S_301	Eukaryota	Nematoda	Enoplea	Dorylaimida	Qudsianematidae	Epidorylaimus	
forward_18S_318	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	
forward_18S_592	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Pucciniaceae	
forward_18S_615	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arachnomycetaceae	Onychocola	
forward_18S_665	Eukaryota	Nematoda	Enoplea	Dorylaimida	Qudsianematidae	Ecumenicus	
forward_18S_733	Eukaryota	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Craterocolla	
forward_18S_912	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	
forward_18S_913	Eukaryota	Ascomycota	Lecanoromycetes	Lecanorales	Lecanorales	Lecanorales	
forward_18S_917	Eukaryota	Nematoda	Enoplea	Dorylaimida	Aetholaimidae	Aetholaimus	
forward_18S_1042	Eukaryota	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphaceae	
forward_18S_1174	Eukaryota	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Didymosphenia	
forward_18S_1181	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	
forward_18S_1209	Eukaryota	Nematoda	Nematoda	Nematoda	Nematoda	Nematoda	
forward_18S_1225	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Cazia	
forward_18S_1226	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Halamphora	
forward_18S_1709	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
forward_18S_1730	Eukaryota	Nematoda	Enoplea	Dorylaimida	Qudsianematidae	Microdorylaimus	
forward_18S_1913	Eukaryota	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Fimicolochytrium	
forward_18S_2486	Eukaryota	Arthropoda	Collembola	Entomobryomorpha	Entomobryomorpha	Entomobryomorpha	
forward_18S_2855	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Pongo	
forward_18S_3860	Eukaryota	Arthropoda	Insecta	Insecta	Insecta	Insecta	
forward_18S_3894	Eukaryota	Arthropoda	Insecta	Thysanoptera	Thripidae	Frankliniella	
forward_18S_10491	Eukaryota	Chordata	Mammalia	Mammalia	Mammalia	Mammalia	
forward_18S_14564	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	
forward_18S_15192	Eukaryota	Chordata	Actinopteri	Cichliformes	Cichlidae	Oreochromis	
forward_18S_20608	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporidiobolaceae	
forward_18S_22407	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_1	Eukaryota	Chordata	Actinopteri	Actinopteri	Actinopteri	Actinopteri	
merged_18S_2	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
merged_18S_3	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_4	Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	
merged_18S_5	Eukaryota	Chordata	Mammalia	Mammalia	Mammalia	Mammalia	
merged_18S_6	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales	Sporidiobolales	
merged_18S_7	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_8	Eukaryota	Arthropoda	Insecta	Thysanoptera	Thripidae	Australothrips	
merged_18S_10	Eukaryota	Streptophyta	Liliopsida	Poales	Poaceae	Poaceae	
merged_18S_13	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_14	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
merged_18S_18	Eukaryota	Arthropoda	Malacostraca	Decapoda	Penaeidae	Penaeus	
merged_18S_19	Eukaryota	Arthropoda	Arachnida	Trombidiformes	Bdellidae	Bdella	
merged_18S_20	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	
merged_18S_23	Eukaryota	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
merged_18S_28	Eukaryota	Chytridiomycota	Chytridiomycetes	Synchytriales	Synchytriaceae	Synchytrium	
merged_18S_30	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_35	Eukaryota	Streptophyta	Bryopsida	Bryopsida	Bryopsida	Bryopsida	
merged_18S_39	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiales	Filobasidiales	
merged_18S_40	Eukaryota	Ciliophora	Spirotrichea	Spirotrichea	Spirotrichea	Spirotrichea	
merged_18S_44	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymellaceae	
merged_18S_49	Eukaryota	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	
merged_18S_53	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	
merged_18S_55	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_56	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Rhogostomidae	Rhogostoma	
merged_18S_58	Eukaryota	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	
merged_18S_61	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_62	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Stauroneidaceae	Stauroneidaceae	
merged_18S_63	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	
merged_18S_65	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_66	Eukaryota	Streptophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	
merged_18S_72	Eukaryota	Bacillariophyta	Bacillariophyta	Bacillariophyta	Bacillariophyta	Bacillariophyta	
merged_18S_73	Eukaryota	Streptophyta	Liliopsida	Asparagales	Amaryllidaceae	Allium	
merged_18S_74	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_77	Eukaryota	Nematoda	Chromadorea	Rhabditida	Spirocercidae	Mastophorus	
merged_18S_78	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
merged_18S_79	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sardina	
merged_18S_82	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	
merged_18S_85	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Herpotrichiellaceae	
merged_18S_87	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	
merged_18S_90	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_99	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_102	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_108	Eukaryota	Arthropoda	Insecta	Coleoptera	Latridiidae	Melanophthalma	
merged_18S_111	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariophyceae	Bacillariophyceae	Bacillariophyceae	
merged_18S_114	Eukaryota	Chordata	Aves	Aves	Aves	Aves	
merged_18S_115	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	
merged_18S_116	Eukaryota	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonemataceae	
merged_18S_119	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Apatococcus	
merged_18S_121	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Agaricales	Agaricales	
merged_18S_122	Eukaryota	Nematoda	Chromadorea	Plectida	Plectidae	Tylocephalus	
merged_18S_123	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_124	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
merged_18S_126	Eukaryota	Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	Oxytrichidae	
merged_18S_134	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pyronemataceae	
merged_18S_136	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_140	Eukaryota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	
merged_18S_148	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Clarireedia	
merged_18S_150	Eukaryota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	
merged_18S_155	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_158	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	
merged_18S_170	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_172	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Dothideales	Dothideales	
merged_18S_174	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_175	Eukaryota	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Scenedesmaceae	
merged_18S_178	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_179	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
