contamination	not_contaminated	contaminated	contaminated	contaminated	contaminated	not_contaminated	contaminated	contaminated	not_contaminated	contaminated	contaminated	contaminated	not_contaminated	not_contaminated	not_contaminated	not_contaminated
Actinochloris	0	0	0.008975393	0.001379854	0.015144842	0	8.62859E-05	0.007624412	0.008559343	0	0.004538106	0.008112407	0	0	2.40819E-05	0
Actinopteri	0.000479978	0.000343141	0.000437004	0.001659975	0.000813146	0.008963018	0.000539287	0.001579833	0.014182632	0.019313485	0.000510537	0.002757158	0.000491444	0.000126717	0.000529801	0.000143835
Agaricales	0.00983955	0	0	1.03748E-05	0	0.009372199	0.000625573	3.43442E-05	0	1.19811E-05	0.005956264	0.000662778	0.002295149	0.004663186	0.01743528	0.003710949
Agaricomycetes	0.000171421	1.42976E-05	0.000302541	0.000674365	0.001626292	0.004462024	0.000830502	0.141326373	2.48818E-05	1.19811E-05	2.83632E-05	0.000768823	0.007842194	0.002204876	0.000626129	0.000632875
Alternaria	0.004594076	0	0.009698131	0.003994315	0.014907674	0.002981178	0.002728793	0.000274754	0.002314008	0.027951836	0.00502028	0.008165429	5.22813E-06	2.53434E-05	0	0.002761636
Apatococcus	0	0	0	0	0	0	0	0.000103033	0	0	0	0	0.001725283	0	0	0
Ascomycota	0.001954196	0.000171571	0.00164717	0.002178717	0.004167373	0.004968629	0.033953513	0.019301439	0	0.006649494	0.000368721	0.004321315	0.010252362	0.00476456	0.017074052	0.002387665
Aspergillus	0	0.00128678	3.36157E-05	0.002728584	0.00315094	0.030181988	0.035560589	0.01284473	0.007514307	0.061786378	0.000482174	0.003419936	0.001442964	0.00103908	0.003130644	0.001697256
Australothrips	6.85683E-05	0.000271654	0.000201694	0.000933736	0.000982551	0.002786329	0	0	0	0	0.000113453	0	5.22813E-06	0	0	0
Bacillariaceae	0	0	0.003311147	0	0.009656107	0.001831573	0.000129429	0.000892949	0.00577258	0	0.011458717	0.002014846	0.003570812	0	0.001878387	0.004516426
Bacillariophyceae	0.000308557	0	0.033884631	0.000352745	0	0	1.07857E-05	3.43442E-05	0.005125653	1.19811E-05	0.037411011	0.001802757	0.023416792	0.007121496	0.022709211	0.013060238
Bacillariophyta	3.42841E-05	8.57854E-05	0.004050692	0.001390229	0.032763002	0.002844784	2.15715E-05	0.007109249	0.008882807	0	0.072921689	0.094379639	5.75094E-05	0.000228091	0	5.75341E-05
Bdella	0	0	0	0	3.38811E-05	0	1.07857E-05	0.000549507	0	0	0	0	0.000130703	0	0	0
Bryopsida	0.001097093	0	0.039935458	0.005654289	0	0	0	0.000137377	0	0.000634997	0	0.000424178	0.023050823	0.000608242	0.01346177	0.000517807
Cercozoa	0.09003017	0.030325127	0.109049348	0.025781485	0.019447738	0.075601107	0.088475435	0.034962393	0.078651406	0.033007848	0.042686559	0.027836691	0.053175304	0.088930002	0.069452137	0.055923134
Chlamydomonadales	0.003154142	0	0.020387925	0.00162885	0.014738269	0	0.000118643	0	0.02485693	0.000742826	0.030887483	0.019697773	0.000533269	0.000405494	0.000457556	0.058051896
Chlamydomonas	0	1.42976E-05	0.001025279	0.000508367	0.002913773	0	0	0	0.004304553	0	0.023598151	0.02757158	0	0	9.63275E-05	0.004142454
Chlorosarcinales	0.000377126	0	0.014353906	0.001078984	0.005996951	0.000798878	0	0.001923275	0.021796467	0.002743665	0.023938509	0.037036055	0	0.000126717	7.22456E-05	0.002963006
Cladosporium	0.001542787	0	0.009261127	0.004004689	0.001863459	0.000604029	0.000776573	0.002266717	0.005324708	0.001413766	0.003063221	0.003472959	0.005594098	0.015079325	0.005972306	0.008773949
Colpodea	0.008125343	0.000257356	0.00141186	0.000228247	0	0.002260239	0.00458394	0.000686884	0.001766609	0.005355538	0.032929631	0.001749735	0.002530415	0.000633585	2.40819E-05	8.63011E-05
Colpodida	0.003462699	0.00885019	0.004185155	0.00430556	0.001626292	0.000467636	0.005134013	0.00171721	0.002662354	0.01141796	0.012252886	0.000424178	0.001625948	0.000785645	0.000168573	0.000632875
Cryptophyta	0.008948162	0.001072317	0.002185021	0.018768091	0.002608843	0.001363937	0.00392601	0.001236391	0.001144563	0.00033547	0.00170179	0.001696713	0.00329895	0.002711744	0.00077062	0.000345205
Culex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cystofilobasidium	0	0	0	0	0	0	0	0	0	0	0	5.30223E-05	0.000240494	0	0.00038531	0
Didymellaceae	0	0	0.001445475	1.03748E-05	0	0	0.000258858	3.43442E-05	0.002015427	0.148337627	0.006296622	0.004639449	0.002964349	0.013736124	0.045394341	0.002330131
Eukaryota	0.420015085	0.26506248	0.291347317	0.695965224	0.585803829	0.656190328	0.24867605	0.464470928	0.547474496	0.192667585	0.423235102	0.433616119	0.386850209	0.306477774	0.347621915	0.261722571
Eurotiomycetes	0	0.004532327	1.68079E-05	0.050058618	0.116381501	0.003702116	0	0.000583851	0	3.59432E-05	0.001531611	0	0.001458648	2.53434E-05	4.81638E-05	0.000230136
Filobasidiales	0.006685409	0.000600498	5.04236E-05	0.000155623	0.002879892	0	0.002976865	0.003743518	0	0.003941772	0	0.002889714	0.000313688	0.001368544	0.012980132	0.001236983
Filobasidium	0	0	0	0.000788488	0	0	0	0	0	0	0	0	0	0	0	0
Gonostomum	0	0	0.009664515	0.003029454	0.002642724	0.018530065	6.47144E-05	0.007487035	0.00507589	0	0.020421477	0	0	0.000304121	0	0.002301364
Haptorida	0.045529347	0	0	2.07497E-05	0	0	0.002286577	0	0.02458323	0	2.83632E-05	0	0	0.002483654	0.002889825	0.000546574
