depth	0.15-1.5	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	3.05-4.60	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	3.05-4.60	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	6	0.15-1.5	0.15-1.5	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	0.15-1.5	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	3.05-4.60	3.05-4.60	6
Arthropoda	0.002674163	0.00357439	0.391846505	0.013251085	0.00090825	0.000938771	0.002890951	0.002590942	0.007857517	0.001724809	0.015149416	0.111286927	0.003849067	0.001659966	0.014751488	0.044161878	0.033498561	0.001423005	0.033485914	0.046022311	0.049148038	0.083059092	0.000185984	0.002786329	0.068144783	0.000300159	0.266933239	0.006035226	0.002114005	0.021699696	0.009131168	0.116526753	0.062511251	0.011743709	0.002163684	0.047682593	4.97636E-05	0.00010055	4.72644E-05	0.054574326	4.43948E-05	0.001461691	0.04308857	7.84135E-06	0.000141816	5.17149E-05	0.003950159	0	0.000120752	0.015073592	0.016795137	0.003265264	0.008802467	0.002219538	0.000690369
Ascomycota	0.041723807	0.033156044	0.035357051	0.011804128	0.008842581	0.007948263	0.029228856	0.043873286	0.158951021	0.007678184	0.027943282	0.126785437	0.104485045	0.02055555	0.060458749	0.093336594	0.098696834	0.170320176	0.068876532	0.161002714	0.092614892	0.170340167	0.007476566	0.077179377	0.041064081	0.267873558	0.159155685	0.374019789	0.178115731	0.304884132	0.231505694	0.356798211	0.106326347	0.082902017	0.070302572	0.232146829	0.021124658	0.25603298	0.121101997	0.326470916	0.036337134	0.359743605	0.119904055	0.22121243	0.058286298	0.119026933	0.169512195	0.069516705	0.552923926	0.160851905	0.139741794	0.072924225	0.067013129	0.013794847	0.002761477
Bacillariophyta	0.003051289	8.57854E-05	0	0	0	0	0.041700282	0.004560058	6.54793E-05	0	4.61872E-05	2.82562E-05	0.001908971	1.0779E-05	0	2.44529E-05	1.99872E-05	0.044214806	0	0	4.30067E-06	0	0.000111591	0.006741748	1.01845E-05	3.75199E-05	0.059190893	0.038140986	0.000722645	1.13374E-05	2.10881E-05	9.807E-06	0	0.000160628	0.00982244	9.66996E-06	0.114680269	3.35166E-05	0	1.85722E-05	7.39913E-06	0.007691847	3.04395E-06	0	0.162010381	0	0.13878579	0.077822353	1.72503E-05	0	0	0.00129574	2.48657E-05	0	0
Basidiomycota	0.019541964	0.003274141	0.017586927	0.016145	0.081211228	0.000604986	0.004252387	0.065326286	0.00471451	0.0372225	0.005496282	0.371625154	0.014265409	0.012438964	0.019920096	0.076097322	0.182303326	0.00880908	0.003963012	0.222423224	0.093733066	0.000385276	0.003794078	0.015587857	0.028404693	0.192364694	0.019129531	0.004680379	0.006773446	0.170321074	0.042018136	0.002137926	0.014034975	0.057469213	0.150049799	0.272547939	0.003657626	0.33050677	0.06576059	0.000668598	0.025586196	0.014652848	0.269614423	0.089940327	0.009246391	0.024037069	0.013149523	0.400708331	0.000224254	0.210211741	0.144262917	0.011350679	0.01081659	0.006461945	0.000966517
Cercozoa	0.128702688	0.030325127	0	0.000990024	0	0.001898404	0.123705795	0.005112792	0	0.002448117	0.000230936	0	0.030626537	0.001121016	0	0	0	0.019447738	0	4.30719E-05	0.006924076	0	0.000557953	0.075601107	1.01845E-05	0	0.017863729	0	0.089111794	0	0	1.9614E-05	0	7.13903E-05	0.037503864	4.83498E-05	0.078676288	3.35166E-05	1.57548E-05	9.28609E-06	0.009493086	0.035547834	0.027101768	2.35241E-05	0.042686559	0.004737082	0.040827147	0.043314737	0	1.54443E-05	7.25612E-05	0.003006116	0.004898548	0.000870958	0.000621332
Chlorophyta	0.009188151	0.001029424	0.000952625	0	1.71368E-05	0.000292062	0.104578459	0.017791136	0.011819015	0.001001502	9.23745E-05	0	0.012418687	0	0.01240466	0.004059176	0	0.049601897	0	0.006460783	8.60134E-06	0	0.000446362	0.001227544	2.03691E-05	3.75199E-05	0.083551286	4.1056E-05	0.000560859	3.40121E-05	3.16322E-05	0.000117684	0	1.78476E-05	0.013050795	0	0.07417268	0	0.007236711	0.002080083	0	0.011393997	3.04395E-06	7.84135E-06	0.125875713	1.0343E-05	0.138838812	0.086441422	0.091961359	7.72213E-05	2.23265E-05	0.005390277	7.45972E-05	0.000646194	0.002209182
Chordata	0.000479978	0.000371737	0.009526252	0.007234788	0.001456627	0.001001356	0.000437004	0.037896846	0.030938973	0.0022812	0.011315875	0.281615123	0.00229284	0.014788786	0.089291202	0.057464238	0.07481212	0.001287481	0.022979325	0.090127924	0.404305829	0.195222577	0.000743937	0.01095047	0.182649611	0.273970547	0.002825001	0.123701605	0.000550073	0.149097547	0.107581189	0.144172682	0.326244053	0.038193825	0.002678847	0.30460387	0.014257278	0.192049873	0.029697823	0.299448407	0.057010307	0.019624993	0.235782492	0.574089031	0.000510537	0.224173596	0.003366914	0.024227418	0.161945834	0.262737648	0.161956698	0.005597595	0.017207082	0.006377659	0.00089748
Chytridiomycota	0.003325562	0.002173229	0	0	0	2.08616E-05	0.004286002	0.000207275	0.002095338	0.000445112	0	0	0.027358461	0.00043116	0.000642584	0.001344908	0	0.00691174	0	0.00010768	0	0	0	0.004695842	0	0	0.005633236	0	0.001369789	0	0	0	6.42921E-06	0	0.000892949	9.66996E-06	0.010375715	3.35166E-05	0	1.85722E-05	2.95965E-05	0.238435272	6.69668E-05	1.56827E-05	0.009643475	3.10289E-05	0.000636267	0.001285025	0	0	0	0	2.48657E-05	0	0
Ciliophora	0.201899342	0.031883561	0	7.61557E-05	0.001405216	0.000166893	0.154094393	0.015925657	0.002651912	0.001557892	4.61872E-05	0	0.057030512	1.0779E-05	0	0	0	0.054548535	0	0.00217513	0.008777664	0	0.001153102	0.046120572	0.000213875	9.37998E-05	0.046910103	0.000287392	0.327498247	5.66868E-05	0.000115985	0.000156912	6.42921E-05	0	0.045093931	0.016593658	0.064618064	0	0.000756231	2.78583E-05	7.39913E-06	0.030659558	4.56592E-06	0	0.151033837	0	0.030434783	0.003698364	0	0.018610326	5.58163E-06	0.005079299	2.48657E-05	0.000590004	6.90369E-05
Cryptophyta	0.008948162	0.001072317	0	0.000152311	0	0	0.002185021	0	0	0	0	0	0.018768091	0	0	4.89057E-05	0	0.002608843	0	0	4.30067E-06	0	0	0.001363937	0	0	0.00041914	0	0.00392601	0	0	0	0	0	0.001236391	9.66996E-06	0.001144563	0	3.15096E-05	0	0	0.00033547	0	0	0.00170179	0	0.001696713	0	0	0	0	0.000518296	0.010692262	0	0
