SampleID	sample_tube	sample_depth	sample_type	contam_type	Arsenic	Barium	Cadmium	Chromium	Cobalt	Copper	Lead	Nickel	Vanadium	Zinc	TPH_d	TPH_mo	Pyrene	Fluoranthene	Dibenz_ah_anthracene	Acenaphthene	Acenaphthylene	Anthracene	Benz_a_anthracene	Benzo_a_pyrene	Benzo_b_fluoranthene	Benzo_ghi_perylene	Benzo_k_fluoranthene	Chrysene	Fluorene	Indeno_123-cd_pyrene	Naphthalene	Phenanthrene	core
FUN_ITS_1_1_S1_L001	1	0.15	sample	not_contaminated	1	60	0.55	110	6.3	23	57	14	52	76	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B1
FUN_ITS_1_2_S2_L001	2	3.05	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B1
FUN_ITS_1_3_S3_L001	3	4.6	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B1
FUN_ITS_1_4_S4_L001	4	6.1	sample	NA	1	60	0.25	9.4	5.4	6.9	1.9	5.6	22	32	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B1
FUN_ITS_1_5_S5_L001	5	0.15	sample	contaminated	1	220	0.53	24	6	58	140	12	27	390	440	2000	50	50	48	40	40	40	40	40	40	40	40	40	40	40	40	40	B2
FUN_ITS_1_6_S6_L001	6	1.52	sample	NA	1	170	0.82	21	11	18	8.5	15	47	59	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B2
FUN_ITS_1_7_S7_L001	7	3.05	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B2
FUN_ITS_1_8_S8_L001	8	4.6	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B2
FUN_ITS_1_9_S9_L001	9	6.1	sample	NA	1	89	0.25	12	8.6	11	2.5	8.3	30	40	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B2
FUN_ITS_1_10_S10_L001	10	0.15	sample	contaminated	4.2	95	1	18	7.5	230	100	13	34	130	320	1300	1600	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B3
FUN_ITS_1_11_S11_L001	11	1.52	sample	NA	1	48	0.25	8	4.9	6.1	3	4.6	22	25	5	25	26	26	24	20	20	20	140	20	20	20	20	20	20	20	20	20	B3
FUN_ITS_1_12_S12_L001	12	3.05	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B3
FUN_ITS_1_13_S13_L001	13	4.6	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B3
FUN_ITS_1_14_S14_L001	14	6.1	sample	NA	1	110	0.25	15	9.8	14	2.9	9.8	39	48	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B3
FUN_ITS_1_15_S15_L001	15	0.15	sample	contaminated	4.1	130	0.25	13	8.3	18	14	12	33	58	120	480	1800	7400	48	40	40	40	40	40	40	40	40	40	40	4600	40	40	B4
FUN_ITS_1_16_S16_L001	16	1.52	sample	NA	1	73	0.25	11	7	10	3.6	6.9	29	32	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B4
FUN_ITS_1_17_S17_L001	17	3.05	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B4
FUN_ITS_1_18_S18_L001	18	4.6	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B4
FUN_ITS_1_19_S19_L001	19	6.1	sample	NA	1	56	0.25	7.8	4.7	5	1.6	4.2	22	21	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B4
FUN_ITS_1_20_S20_L001	20	0.15	sample	contaminated	4.3	120	0.59	17	7.1	120	39	11	34	74	320	770	160000	80	70	6300	60	40000	190000	60	140000	66000	46000	60	10000	62000	60	98000	B5
FUN_ITS_1_21_S21_L001	21	1.52	sample	NA	1	56	0.25	9.1	5.9	8.6	4.1	5.6	27	32	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B5
FUN_ITS_1_22_S22_L001	22	3.05	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B5
FUN_ITS_1_23_S23_L001	23	4.6	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B5
FUN_ITS_1_24_S24_L001	24	6.1	sample	NA	1	35	0.25	5.6	3.5	2.5	3	3.1	15	22	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B5
FUN_ITS_1_25_S25_L001	25	0.15	sample	contaminated	2.2	100	0.56	17	8.6	31	39	15	36	75	140	500	2200	7800	24	20	20	20	20	4000	20	2800	20	20	20	20	20	20	B6
FUN_ITS_1_26_S26_L001	26	1.52	sample	NA	1	56	0.25	7.6	5.3	6.1	2.7	4.4	22	25	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B6
FUN_ITS_1_27_S27_L001	27	3.05	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B6
FUN_ITS_1_28_S28_L001	28	4.6	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B6
FUN_ITS_1_29_S29_L001	29	6.1	sample	NA	1	49	0.25	7.5	4.7	5.9	2.1	4	20	23	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B6
FUN_ITS_1_30_S30_L001	30	0.15	sample	not_contaminated	1	98	1.7	17	8.4	16	11	16	39	54	27	130	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B7
FUN_ITS_1_31_S31_L001	31	1.52	sample	NA	1	59	0.25	8.6	5.9	6.3	3.3	5.3	24	29	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B7
FUN_ITS_1_32_S32_L001	32	3.05	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B7
FUN_ITS_1_33_S33_L001	33	4.6	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B7
FUN_ITS_1_34_S34_L001	34	6.1	sample	NA	1	48	0.25	5.6	4.5	5.5	4.8	3.4	21	23	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B7
FUN_ITS_1_35_S35_L001	35	0.15	sample	contaminated	1	68	0.25	10	6.3	11	16	8.3	28	47	57	330	2000	26	24	20	20	20	20	20	20	20	20	20	20	4400	20	20	B8
FUN_ITS_1_36_S36_L001	36	1.52	sample	NA	1	58	0.25	9.8	5.5	8.3	6.9	5.8	23	34	27	140	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B8
FUN_ITS_1_37_S37_L001	37	3.05	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B8
FUN_ITS_1_38_S38_L001	38	4.6	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B8
FUN_ITS_1_39_S39_L001	39	6.1	sample	NA	1	52	0.25	7.6	5.4	5.5	3.5	4.5	21	26	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B8
FUN_ITS_1_40_S40_L001	40	0.15	sample	contaminated	1	79	0.25	8.2	6.9	10	6.8	10	29	34	640	2900	26	26	48	20	20	20	20	20	20	20	20	20	20	20	20	20	B9
FUN_ITS_1_41_S41_L001	41	1.52	sample	NA	1	60	0.25	7.3	5	7.1	4.7	4.7	20	27	14	140	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B9
FUN_ITS_1_42_S42_L001	42	0.15	sample	not_contaminated	1	120	0.58	15	8.1	15	7.1	14	36	47	18	100	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B10
FUN_ITS_1_43_S43_L001	43	1.52	sample	NA	1	67	0.25	8.3	6	8.2	2.4	5.8	23	29	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B10
FUN_ITS_1_44_S44_L001	44	3.05	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B10
FUN_ITS_1_45_S45_L001	45	4.6	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B10
FUN_ITS_1_46_S46_L001	46	6.1	sample	NA	1	62	0.25	9.8	6.6	8.1	2.2	6.2	26	29	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B10
FUN_ITS_1_47_S47_L001	47	0.15	sample	contaminated	2.4	120	1.2	18	9	22	19	17	42	65	23	110	26	26	24	20	20	20	20	750	20	20	20	20	20	20	20	20	B11
FUN_ITS_1_48_S48_L001	48	1.52	sample	NA	1	68	0.25	9.3	5.8	7.9	5.4	5.7	24	32	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B11
FUN_ITS_1_49_S49_L001	49	3.05	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B11
FUN_ITS_1_50_S50_L001	50	6.1	sample	NA	1	66	0.25	9.7	6.1	7.8	2.8	5.8	25	28	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B11
FUN_ITS_1_51_S51_L001	51	0.15	sample	contaminated	2.1	84	0.25	8.8	7.6	17	17	12	29	45	69	330	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B12
FUN_ITS_1_52_S52_L001	52	1.52	sample	NA	1	67	0.25	9.6	6.2	9.1	3.1	5.8	28	30	11	86	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B12
FUN_ITS_1_53_S53_L001	53	3.05	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B12
FUN_ITS_1_54_S54_L001	54	4.6	sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B12
FUN_ITS_1_55_S55_L001	55	6.1	sample	NA	1	42	0.25	64	4.1	2.5	2.4	4.3	19	21	5	25	26	26	24	20	20	20	20	20	20	20	20	20	20	20	20	20	B12
FUN_ITS_1_56_S56_L001	56	0.15	neighbor_lot	not_contaminated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C1
FUN_ITS_1_57_S57_L001	57	0.15	neighbor_lot	not_contaminated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C1
FUN_ITS_1_58_S58_L001	58	0.15	neighbor_lot	not_contaminated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C1
