ITS_seq_number	Kingdom	Phylum	Class	Order	Family	Genus	Species
forward_FUN_ITS_1	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	Subramaniula cuniculorum
forward_FUN_ITS_2	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	Taifanglania parvispora
forward_FUN_ITS_3	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_4	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
forward_FUN_ITS_6	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
forward_FUN_ITS_7	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium nygamai
forward_FUN_ITS_8	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria atra
forward_FUN_ITS_10	Eukaryota	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Oxyporus	Oxyporus sp. MEL 2382667
forward_FUN_ITS_11	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Microcera	Microcera rubra
forward_FUN_ITS_14	Eukaryota	Arthropoda	Insecta	Orthoptera	Tettigoniidae	Preussia	Preussia sp. 1 PAM-2020
forward_FUN_ITS_15	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium sp.
forward_FUN_ITS_17	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fischeri
forward_FUN_ITS_18	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium brachygibbosum
forward_FUN_ITS_21	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium sphaerospermum
forward_FUN_ITS_22	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia subticinensis
forward_FUN_ITS_23	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria atra
forward_FUN_ITS_24	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Bonordeniella	[Coniosporium] sp. MA4666
forward_FUN_ITS_27	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Allophoma	Allophoma cylindrispora
forward_FUN_ITS_28	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
forward_FUN_ITS_29	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	Subramaniula flavipila
forward_FUN_ITS_30	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	Subramaniula flavipila
forward_FUN_ITS_31	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Podila minutissima
forward_FUN_ITS_33	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium sp.
forward_FUN_ITS_35	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium subspirale
forward_FUN_ITS_36	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
forward_FUN_ITS_39	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	Phoma sp.
forward_FUN_ITS_40	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria atra
forward_FUN_ITS_41	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella sp.
forward_FUN_ITS_42	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria sp.
forward_FUN_ITS_44	Eukaryota	Arthropoda	Insecta	Orthoptera	Tettigoniidae	Preussia	Preussia sp. 1 PAM-2020
forward_FUN_ITS_45	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma sp. 2 KB-2015
forward_FUN_ITS_48	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus amstelodami
forward_FUN_ITS_50	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	Subramaniula sp.
forward_FUN_ITS_51	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus penicillioides
forward_FUN_ITS_56	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fischeri
forward_FUN_ITS_59	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
forward_FUN_ITS_61	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
forward_FUN_ITS_63	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis cucurbitacearum
forward_FUN_ITS_64	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	Taifanglania parvispora
forward_FUN_ITS_65	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella sp. YH-2018c
forward_FUN_ITS_67	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	NA	Tetracladium	Tetracladium furcatum
