contamination	not_contaminated	contaminated	contaminated	contaminated	contaminated	not_contaminated	contaminated	contaminated	contaminated	contaminated	contaminated	not_contaminated	not_contaminated	not_contaminated	not_contaminated
Acremonium	0	0.00811359	0.010528893	0	0	0	0.001800991	0	0	0.00154202	0.009518773	0	0	0	0.014291465
Alternaria	0.170438032	0.011663286	0.336679726	0.234375	0.523809524	0	0.047276002	0.006178942	0.109034268	0.229760987	0.098360656	0.001398532	0.001079914	0.002986038	0.13305153
Aspergillus	0.000207598	0.009634888	0.004407444	0	0.017006803	0.243243243	0.138376107	0.00426347	0.017653167	0	0	0.002397483	0.001993687	0.002340408	0.005032206
Aureobasidium	0.002283579	0	0.004407444	0.059027778	0	0	0.001851018	0	0	0.0154202	0	0.004345437	0.014288088	0.000887741	0.005837359
Bonordeniella	0.006643139	0	0.006366308	0	0.020408163	0	0.002601431	0	0	0	0	0.000449528	0	0	0.028180354
Botryotrichum	0	0	0.003183154	0	0	0	0	0	0.043613707	0	0	0.010289196	0	0	0
Chaetomium	0.010795101	0	0.006856024	0	0.066326531	0	0	0.001791893	0.034787124	0	0	0.016332851	0.026499419	0.040836091	0
Cladorrhinum	0.004982354	0	0	0	0.005102041	0	0	0	0	0.050886662	0	0	0	0	0
Cladosporium	0.040689226	0.006085193	0.339128306	0.199652778	0.074829932	0	0.009605283	0.002286209	0	0.103315343	0	0.062584286	0.071689649	0.007666855	0.277375201
Clonostachys	0	0	0	0	0	0	0	0	0	0	0	0.074921333	0.006894833	0.002017593	0
Coniochaeta	0.034046087	0	0	0	0	0	0.070288659	0.000494315	0	0	0	0.000998951	0.002575179	0	0
Crustodontia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curvularia	0	0	0	0	0	0	0.001851018	0.000494315	0	0.020817271	0	0	0	0	0.012681159
Cylindrocarpon	0	0	0	0	0	0	0.000300165	0	0	0	0	0	0	0.002259705	0.04468599
Cyphellophora	0	0	0	0	0	0	0	0	0	0	0	0.024174617	0.000913773	0	0
Dactylonectria	0	0	0	0	0	0	0	0	0	0	0	0.079216822	0.043196544	0.148333468	0
Entoloma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027173913
Epicoccum	0	0	0.005386876	0.102430556	0	0	0	0	0	0	0	0.010588882	0	0	0.016908213
Exophiala	0	0	0	0.010416667	0	0	0	0.001235788	0	0	0.001586462	0.080865092	0.008140887	0.011298523	0
Furcasterigmium	0	0.007099391	0.00367287	0.055555556	0	0	0.000350193	0	0	0.00385505	0	0	0	0	0
